1.000;10.000;20.000;287.000;
2.000;10.000;20.000;363.000;
3.000;10.000;20.000;245.000;
4.000;10.000;20.000;442.000;
5.000;10.000;20.000;481.000;
1.000;15.000;30.000;556.000;
2.000;15.000;30.000;567.000;
3.000;15.000;30.000;612.000;
4.000;15.000;30.000;647.000;
5.000;15.000;30.000;699.000;
1.000;20.000;30.000;983.000;
2.000;20.000;40.000;768.000;
3.000;20.000;40.000;930.000;
4.000;20.000;40.000;663.000;
5.000;20.000;40.000;963.000;
1.000;25.000;50.000;1063.000;
2.000;25.000;50.000;811.000;
3.000;25.000;50.000;1115.000;
4.000;25.000;50.000;1408.000;
5.000;25.000;50.000;1312.000;
1.000;5.000;10.000;257.000;
2.000;5.000;10.000;300.000;
3.000;5.000;10.000;240.000;
4.000;5.000;10.000;330.000;
5.000;5.000;10.000;239.000;
