T    ;747.000;747.000;747.000;747.000;747.000;747.000;719.000;689.000;689.000;677.000;677.000
T    ;975.000;975.000;975.000;975.000;958.000;955.000;938.000;809.000;809.000;809.000;732.000
T    ;672.000;672.000;672.000;672.000;654.000;654.000;639.000;608.000;608.000;608.000;608.000
T    ;899.000;899.000;899.000;899.000;899.000;899.000;842.000;776.000;741.000;741.000;698.000
T    ;869.000;869.000;849.000;849.000;849.000;849.000;794.000;744.000;709.000;680.000;680.000
T    ;1042.000;1042.000;1034.000;1034.000;972.000;972.000;914.000;885.000;885.000;885.000;885.000
T    ;1007.000;1007.000;1007.000;1007.000;1007.000;974.000;890.000;890.000;865.000;865.000;865.000
T    ;1141.000;1141.000;1141.000;1141.000;1141.000;1141.000;1094.000;1017.000;1017.000;1017.000;977.000
T    ;929.000;917.000;917.000;917.000;917.000;917.000;896.000;893.000;840.000;824.000;774.000
T    ;846.000;846.000;846.000;846.000;846.000;846.000;846.000;846.000;846.000;795.000;795.000
T    ;847.000;847.000;847.000;847.000;847.000;815.000;745.000;745.000;724.000;711.000;704.000
T    ;1198.000;1198.000;1198.000;1198.000;1198.000;1198.000;1141.000;1016.000;1016.000;1016.000;1016.000
T    ;1022.000;1022.000;1021.000;1021.000;1021.000;1021.000;1021.000;1009.000;878.000;856.000;834.000
T    ;787.000;787.000;787.000;778.000;743.000;743.000;743.000;708.000;708.000;673.000;618.000
T    ;957.000;957.000;957.000;957.000;957.000;929.000;913.000;869.000;869.000;869.000;869.000
T    ;1046.000;1046.000;1046.000;1046.000;1046.000;1006.000;1006.000;1006.000;903.000;857.000;830.000
T    ;590.000;590.000;590.000;590.000;590.000;570.000;559.000;520.000;503.000;503.000;464.000
T    ;1110.000;1110.000;1110.000;1110.000;1110.000;1110.000;1110.000;1110.000;1109.000;991.000;991.000
T    ;854.000;854.000;854.000;854.000;854.000;840.000;840.000;741.000;741.000;741.000;684.000
T    ;853.000;853.000;853.000;853.000;853.000;853.000;853.000;764.000;745.000;745.000;745.000
T    ;853.000;853.000;853.000;841.000;841.000;841.000;836.000;836.000;757.000;749.000;669.000
T    ;886.000;886.000;886.000;886.000;886.000;886.000;857.000;857.000;857.000;807.000;807.000
T    ;894.000;894.000;894.000;894.000;894.000;894.000;825.000;812.000;812.000;743.000;743.000
T    ;866.000;866.000;866.000;845.000;845.000;845.000;845.000;840.000;816.000;816.000;699.000
T    ;1065.000;1065.000;1065.000;1065.000;1065.000;1065.000;1015.000;991.000;991.000;991.000;921.000
T    ;971.000;971.000;971.000;971.000;971.000;971.000;872.000;872.000;786.000;751.000;751.000
T    ;890.000;890.000;890.000;890.000;890.000;871.000;869.000;804.000;804.000;738.000;714.000
T    ;1022.000;1022.000;1022.000;1022.000;1022.000;1000.000;1000.000;974.000;974.000;879.000;823.000
T    ;846.000;846.000;846.000;846.000;846.000;846.000;782.000;782.000;782.000;782.000;782.000
T    ;927.000;927.000;927.000;925.000;873.000;873.000;873.000;825.000;825.000;825.000;825.000
T    ;920.000;920.000;920.000;920.000;880.000;871.000;863.000;822.000;822.000;763.000;742.000
T    ;1072.000;1072.000;1072.000;1072.000;1072.000;1027.000;1007.000;976.000;976.000;899.000;899.000
T    ;949.000;949.000;949.000;949.000;949.000;949.000;872.000;812.000;788.000;773.000;773.000
T    ;919.000;919.000;909.000;909.000;909.000;909.000;883.000;851.000;845.000;845.000;765.000
T    ;815.000;815.000;815.000;815.000;808.000;779.000;720.000;720.000;671.000;670.000;670.000
T    ;980.000;980.000;980.000;980.000;980.000;971.000;891.000;891.000;891.000;849.000;849.000
T    ;1018.000;1018.000;1018.000;1018.000;1018.000;1018.000;1018.000;994.000;994.000;926.000;926.000
T    ;1171.000;1171.000;1171.000;1137.000;1118.000;1118.000;1107.000;1107.000;1107.000;970.000;965.000
T    ;1043.000;1043.000;1043.000;1043.000;1013.000;1013.000;986.000;978.000;978.000;978.000;900.000
T    ;993.000;978.000;955.000;931.000;931.000;931.000;916.000;876.000;866.000;866.000;805.000
T    ;1131.000;1131.000;1131.000;1131.000;1131.000;1108.000;1090.000;1035.000;1035.000;961.000;923.000
